background	FASN_negative	FASN_positive
SLC22A31	NA	NA
KATNB1	NA	NA
TRAF2	NA	NA
DHX38	NA	NA
CAPG	NA	NA
SDF2	NA	NA
AP2M1	NA	NA
FAM149B1	NA	NA
ABHD6	NA	NA
MRPL14	NA	NA
COX10	NA	NA
PPP4C	NA	NA
SRSF3	NA	NA
C11orf68	NA	NA
FAF2	NA	NA
PICALM	NA	NA
FANCB	NA	NA
IRF2BP2	NA	NA
SAMD8	NA	NA
TRAF4	NA	NA
MYF6	NA	NA
RPA3	NA	NA
C3orf18	NA	NA
C7orf63	NA	NA
SUGT1	NA	NA
NOLC1	NA	NA
USE1	NA	NA
UNC50	NA	NA
C12orf44	NA	NA
UBIAD1	NA	NA
CCDC104	NA	NA
SEMA7A	NA	NA
NADK	NA	NA
PPIL3	NA	NA
ATXN10	NA	NA
HIST1H1D	NA	NA
FANCF	NA	NA
TONSL	NA	NA
NFATC4	NA	NA
COG1	NA	NA
RBBP8	NA	NA
SLC25A25	NA	NA
RARA	NA	NA
TRIM27	NA	NA
ATP6V1G1	NA	NA
CCDC77	NA	NA
COPB2	NA	NA
LIN52	NA	NA
MFGE8	NA	NA
TACR2	NA	NA
TRIM25	NA	NA
CLASRP	NA	NA
ZMIZ1	NA	NA
SUPT3H	NA	NA
TLX2	NA	NA
CERS5	NA	NA
GDF5	NA	NA
ARL14EP	NA	NA
MRPL4	NA	NA
PHC1	NA	NA
INHA	NA	NA
BRE	NA	NA
PLD2	NA	NA
CHIC2	NA	NA
GLYCTK	NA	NA
DCTN2	NA	NA
ALG13	NA	NA
GPR142	NA	NA
INTS9	NA	NA
STAG2	NA	NA
SLC9A3	NA	NA
PDS5A	NA	NA
ZNF668	NA	NA
ID3	NA	NA
PPIL2	NA	NA
NPLOC4	NA	NA
ARHGAP4	NA	NA
B3GNT2	NA	NA
CBLN3	NA	NA
URB2	NA	NA
PLXND1	NA	NA
BANF1	NA	NA
PIKFYVE	NA	NA
RASA1	NA	NA
CD8B	NA	NA
GPAA1	NA	NA
C7orf26	NA	NA
USF2	NA	NA
A1CF	NA	NA
ARGLU1	NA	NA
SRP72	NA	NA
RFC5	NA	NA
GPR4	NA	NA
SKA1	NA	NA
DNA2	NA	NA
CCNE2	NA	NA
PALB2	NA	NA
FOXA1	NA	NA
CDYL	NA	NA
MRPL50	NA	NA
ATP6V0B	NA	NA
LRRN4	NA	NA
NDUFS1	NA	NA
RAB1B	NA	NA
SRRM2	NA	NA
GMPPB	NA	NA
PTGR1	NA	NA
MYH7B	NA	NA
ISCU	NA	NA
HAO2	NA	NA
ALMS1	NA	NA
RNF185	NA	NA
MARCH6	NA	NA
MED8	NA	NA
MORF4L1	NA	NA
SDE2	NA	NA
C16orf46	NA	NA
WDR73	NA	NA
GFM2	NA	NA
SCO1	NA	NA
SCGB2A2	NA	NA
MDP1	NA	NA
FANCC	NA	NA
PIK3R1	NA	NA
ATXN7L3	NA	NA
SNUPN	NA	NA
SSBP3	NA	NA
NPFFR1	NA	NA
C11orf31	NA	NA
TPPP2	NA	NA
WDR1	NA	NA
NDUFA1	NA	NA
PLK5	NA	NA
LHFPL2	NA	NA
LRR1	NA	NA
RBM22	NA	NA
VBP1	NA	NA
KDM2B	NA	NA
MRPL15	NA	NA
CD200	NA	NA
OR9Q2	NA	NA
SIRPA	NA	NA
EMC3	NA	NA
ATG3	NA	NA
ZNF85	NA	NA
DCST2	NA	NA
PIF1	NA	NA
GTF2A1	NA	NA
LRRN4CL	NA	NA
UXT	NA	NA
MIPEP	NA	NA
EXTL1	NA	NA
HOOK3	NA	NA
BUB1B	NA	NA
LARS	NA	NA
RPL38	NA	NA
C16orf91	NA	NA
BSDC1	NA	NA
KHSRP	NA	NA
CDKN2C	NA	NA
DCUN1D4	NA	NA
HNRNPDL	NA	NA
TRMT44	NA	NA
TMEM55A	NA	NA
C14orf80	NA	NA
C10orf105	NA	NA
ANGEL1	NA	NA
SF3A1	NA	NA
SFSWAP	NA	NA
PPOX	NA	NA
FMNL1	NA	NA
FUBP1	NA	NA
ZMAT2	NA	NA
COG4	NA	NA
OR4Q3	NA	NA
ARHGEF40	NA	NA
ARMC5	NA	NA
SF3A3	NA	NA
SMIM15	NA	NA
PRR14L	NA	NA
DUSP11	NA	NA
PLD6	NA	NA
MORN3	NA	NA
ARID5A	NA	NA
UBE2D2	NA	NA
DUT	NA	NA
AP1S3	NA	NA
DUSP9	NA	NA
INO80	NA	NA
HOXC6	NA	NA
ANO5	NA	NA
ABCD2	NA	NA
CAMLG	NA	NA
SF3B2	NA	NA
LIPT1	NA	NA
SMAD7	NA	NA
PAOX	NA	NA
F2	NA	NA
COMT	NA	NA
PMS2	NA	NA
OTP	NA	NA
UBE2E1	NA	NA
NXPE3	NA	NA
PANK4	NA	NA
DSCC1	NA	NA
EP400NL	NA	NA
PI4K2A	NA	NA
FLNB	NA	NA
ACLY	NA	NA
CIT	NA	NA
ARMC7	NA	NA
CAPN3	NA	NA
P4HB	NA	NA
NSMCE4A	NA	NA
NUP54	NA	NA
CNKSR1	NA	NA
TOP2A	NA	NA
ANKRD34C	NA	NA
RASSF5	NA	NA
SYNCRIP	NA	NA
GFI1B	NA	NA
RBFA	NA	NA
CDK17	NA	NA
RASGRF1	NA	NA
LIMD2	NA	NA
CASC3	NA	NA
SH3GL3	NA	NA
UNC79	NA	NA
SWSAP1	NA	NA
ANAPC11	NA	NA
RIPK3	NA	NA
TMCO1	NA	NA
DHX16	NA	NA
TUBGCP3	NA	NA
SARS2	NA	NA
ACTR1B	NA	NA
FAR2	NA	NA
IL17RB	NA	NA
SIRT5	NA	NA
GINS4	NA	NA
COPZ1	NA	NA
WDR74	NA	NA
IBA57	NA	NA
GLIS3	NA	NA
SART3	NA	NA
RNASE2	NA	NA
MTRF1L	NA	NA
WWTR1	NA	NA
ANAPC5	NA	NA
RNF145	NA	NA
ALKBH1	NA	NA
NCOA7	NA	NA
PPM1K	NA	NA
FGD2	NA	NA
CABP4	NA	NA
ZNF839	NA	NA
SNX31	NA	NA
IMPDH2	NA	NA
NDUFA10	NA	NA
MTFR2	NA	NA
RABGGTB	NA	NA
COG7	NA	NA
FANCI	NA	NA
CASQ1	NA	NA
ITGAD	NA	NA
ORC5	NA	NA
FAM192A	NA	NA
MCRS1	NA	NA
ZNF652	NA	NA
COX17	NA	NA
DIABLO	NA	NA
MTERFD1	NA	NA
TSEN15	NA	NA
MEFV	NA	NA
PHF15	NA	NA
FAM117B	NA	NA
PSMC1	NA	NA
EBP	NA	NA
KLHL33	NA	NA
LRRTM4	NA	NA
INTS7	NA	NA
ZBTB43	NA	NA
CIB2	NA	NA
ZEB1	NA	NA
FEV	NA	NA
CCNL2	NA	NA
NDUFB5	NA	NA
ORC1	NA	NA
NDUFAF5	NA	NA
NFKBIB	NA	NA
CMTM5	NA	NA
PTPN23	NA	NA
PYGM	NA	NA
ATP6AP1	NA	NA
IDH3G	NA	NA
SLC4A1AP	NA	NA
KLRG2	NA	NA
IMMT	NA	NA
TPI1	NA	NA
IPO7	NA	NA
SET	NA	NA
REV1	NA	NA
MYBL2	NA	NA
SLC30A5	NA	NA
RAB13	NA	NA
PCBP4	NA	NA
GSG2	NA	NA
PPARG	NA	NA
UMPS	NA	NA
COG3	NA	NA
BCL9	NA	NA
DAPK2	NA	NA
ATF1	NA	NA
CIAO1	NA	NA
SEH1L	NA	NA
FARS2	NA	NA
CTC-534A2.2	NA	NA
TNPO2	NA	NA
ADAT2	NA	NA
SPINT2	NA	NA
CENPL	NA	NA
ARSK	NA	NA
CMKLR1	NA	NA
CD80	NA	NA
HHEX	NA	NA
RBM8A	NA	NA
CA4	NA	NA
RAPH1	NA	NA
STARD3	NA	NA
KCNH3	NA	NA
MRPS23	NA	NA
TARS	NA	NA
MRPL47	NA	NA
PIGC	NA	NA
NOL12	NA	NA
KRT32	NA	NA
GIGYF1	NA	NA
B4GALT4	NA	NA
ATN1	NA	NA
FAM49B	NA	NA
SLC26A5	NA	NA
NPSR1	NA	NA
TAF8	NA	NA
SETD1A	NA	NA
DR1	NA	NA
C16orf71	NA	NA
RPAP3	NA	NA
IL36G	NA	NA
DRAP1	NA	NA
NRAS	NA	NA
SELE	NA	NA
UBA2	NA	NA
GLCE	NA	NA
MMP23B	NA	NA
C9orf89	NA	NA
ANKRD17	NA	NA
TMCC2	NA	NA
PCLO	NA	NA
EPHA4	NA	NA
RNPC3	NA	NA
DDOST	NA	NA
C19orf47	NA	NA
IRF2BPL	NA	NA
C16orf45	NA	NA
ADRA2B	NA	NA
DPYS	NA	NA
NVL	NA	NA
NDEL1	NA	NA
ZNF423	NA	NA
GPN3	NA	NA
ARHGEF12	NA	NA
KLHL12	NA	NA
KLF10	NA	NA
VPREB1	NA	NA
CARD8	NA	NA
GUK1	NA	NA
LSP1	NA	NA
FBF1	NA	NA
HMBS	NA	NA
ABHD16A	NA	NA
HCN4	NA	NA
DNTTIP1	NA	NA
SND1	NA	NA
CANX	NA	NA
PREB	NA	NA
C1orf74	NA	NA
GBP5	NA	NA
IQGAP3	NA	NA
UQCRFS1	NA	NA
PHKG1	NA	NA
GTF3C2	NA	NA
SMAD6	NA	NA
PFKFB4	NA	NA
TERF2IP	NA	NA
MRPL39	NA	NA
SNX17	NA	NA
NDUFA6	NA	NA
GAPVD1	NA	NA
CUL3	NA	NA
C11orf83	NA	NA
ACTR10	NA	NA
KIAA2013	NA	NA
RLF	NA	NA
BTG2	NA	NA
BOC	NA	NA
RCE1	NA	NA
MXRA8	NA	NA
ZNF133	NA	NA
ACTL6B	NA	NA
ZNF654	NA	NA
SLC39A5	NA	NA
GPATCH11	NA	NA
CMA1	NA	NA
MAGEA10	NA	NA
PRKCA	NA	NA
UTP23	NA	NA
AIFM2	NA	NA
NDUFC1	NA	NA
ADAM20	NA	NA
CLP1	NA	NA
FBXO21	NA	NA
PSMD13	NA	NA
NDRG3	NA	NA
DLG1	NA	NA
TAF12	NA	NA
MBD5	NA	NA
MRPL24	NA	NA
TBC1D23	NA	NA
ACSL4	NA	NA
PIP4K2A	NA	NA
CCDC12	NA	NA
SHROOM3	NA	NA
USP39	NA	NA
MAN2A1	NA	NA
SLC6A9	NA	NA
PCNA	NA	NA
CDAN1	NA	NA
KCNJ3	NA	NA
GTF3C4	NA	NA
HIBCH	NA	NA
GOSR2	NA	NA
POU6F1	NA	NA
METTL25	NA	NA
LSM2	NA	NA
RNASEH2C	NA	NA
ATF6B	NA	NA
SGK223	NA	NA
CDIP1	NA	NA
TP53BP1	NA	NA
SERPIND1	NA	NA
SNRPA1	NA	NA
SKI	NA	NA
ARF6	NA	NA
CNNM1	NA	NA
INPP5B	NA	NA
CD22	NA	NA
GPD1L	NA	NA
AC007431.1	NA	NA
NPHP1	NA	NA
ATR	NA	NA
ATP6V0D1	NA	NA
MAGEB4	NA	NA
DSN1	NA	NA
PRLH	NA	NA
C8A	NA	NA
TARDBP	NA	NA
ATP5I	NA	NA
NFIC	NA	NA
RBM39	NA	NA
SURF1	NA	NA
EIF3E	NA	NA
MCMBP	NA	NA
BMP1	NA	NA
SLC25A37	NA	NA
ANAPC16	NA	NA
DISP2	NA	NA
ACTN4	NA	NA
SSX5	NA	NA
C11orf74	NA	NA
C1orf52	NA	NA
PSMA4	NA	NA
NIT1	NA	NA
TMEFF1	NA	NA
VENTX	NA	NA
FARSB	NA	NA
ARID1A	NA	NA
LIPA	NA	NA
ARG1	NA	NA
SENP7	NA	NA
NDOR1	NA	NA
SPACA1	NA	NA
ATP11C	NA	NA
SEMA6A	NA	NA
JAGN1	NA	NA
ARHGAP5	NA	NA
ACPT	NA	NA
CR1	NA	NA
MCM7	NA	NA
CHGB	NA	NA
DNAJA3	NA	NA
STMN1	NA	NA
SLC29A1	NA	NA
FXR1	NA	NA
CACNG4	NA	NA
SEC11A	NA	NA
RAB11FIP3	NA	NA
MED28	NA	NA
STK36	NA	NA
BLVRB	NA	NA
FAM20B	NA	NA
ATP5G1	NA	NA
ICT1	NA	NA
CCDC73	NA	NA
IGSF21	NA	NA
FBLN7	NA	NA
CENPN	NA	NA
NDUFB9	NA	NA
MAF1	NA	NA
MAPRE3	NA	NA
CTSG	NA	NA
SFR1	NA	NA
VGLL1	NA	NA
ZNF80	NA	NA
CCNT1	NA	NA
TTLL3	NA	NA
KDM8	NA	NA
SLC17A5	NA	NA
C2orf49	NA	NA
INSRR	NA	NA
MRPS12	NA	NA
ZCCHC4	NA	NA
COX4I1	NA	NA
SEPT12	NA	NA
ZRANB2	NA	NA
COX5B	NA	NA
TCF7L2	NA	NA
SNX27	NA	NA
ZAP70	NA	NA
FOXR1	NA	NA
U2AF1	NA	NA
ARHGAP42	NA	NA
GZMA	NA	NA
NUDC	NA	NA
ENOPH1	NA	NA
ADAMTSL3	NA	NA
UBOX5	NA	NA
TRIM72	NA	NA
TOX	NA	NA
RAD9A	NA	NA
GAMT	NA	NA
CALM3	NA	NA
HR	NA	NA
CSNK2B	NA	NA
DHX37	NA	NA
MTMR3	NA	NA
TUFT1	NA	NA
ANK1	NA	NA
SEMA4C	NA	NA
RTCB	NA	NA
ISLR	NA	NA
MRPS2	NA	NA
QRICH1	NA	NA
SFI1	NA	NA
PMM2	NA	NA
GFM1	NA	NA
DHX29	NA	NA
C22orf43	NA	NA
MEIS1	NA	NA
SLC25A3	NA	NA
HSPA6	NA	NA
SEP15	NA	NA
CATSPER1	NA	NA
USP48	NA	NA
SFTPC	NA	NA
EID2B	NA	NA
RAD1	NA	NA
ZC3H8	NA	NA
ALX4	NA	NA
MRPL17	NA	NA
TRAP1	NA	NA
PHOSPHO2	NA	NA
ARMC10	NA	NA
ZNF217	NA	NA
HOMER2	NA	NA
GRM8	NA	NA
DSE	NA	NA
OR2G6	NA	NA
MARCH10	NA	NA
UTP18	NA	NA
MMRN2	NA	NA
CTRB1	NA	NA
SLC35F4	NA	NA
XPNPEP1	NA	NA
ITIH4	NA	NA
LMAN2L	NA	NA
OR4K5	NA	NA
MSX2	NA	NA
RARS	NA	NA
BUB3	NA	NA
C19orf10	NA	NA
MKLN1	NA	NA
CDRT1	NA	NA
FAM109A	NA	NA
NOL9	NA	NA
CHRNA5	NA	NA
DIRAS3	NA	NA
SRSF9	NA	NA
GPAT2	NA	NA
PRRT1	NA	NA
FAM92A1	NA	NA
EMC4	NA	NA
LIX1	NA	NA
ENTPD6	NA	NA
ZBTB8OS	NA	NA
C9orf114	NA	NA
METRNL	NA	NA
EPC1	NA	NA
GATAD2B	NA	NA
GTF2E1	NA	NA
PODXL2	NA	NA
COPS5	NA	NA
EPHA10	NA	NA
MPI	NA	NA
MARVELD2	NA	NA
SMIM9	NA	NA
AARD	NA	NA
GID8	NA	NA
OR4S1	NA	NA
C17orf66	NA	NA
NUDT1	NA	NA
MTCH1	NA	NA
SLC35B1	NA	NA
ADIPOR2	NA	NA
KRR1	NA	NA
GSK3A	NA	NA
NKAP	NA	NA
CDK14	NA	NA
LIMA1	NA	NA
ARID3B	NA	NA
PCK2	NA	NA
C1orf85	NA	NA
ZBTB10	NA	NA
DYM	NA	NA
DCD	NA	NA
CREBZF	NA	NA
AP3B1	NA	NA
ODAM	NA	NA
SEC14L5	NA	NA
RHOG	NA	NA
DCUN1D1	NA	NA
IARS	NA	NA
SPRED2	NA	NA
PRDM13	NA	NA
NANP	NA	NA
NKIRAS2	NA	NA
ACBD6	NA	NA
AOC3	NA	NA
RNF41	NA	NA
ACSS2	NA	NA
SMR3A	NA	NA
TRMT1L	NA	NA
NDUFV1	NA	NA
KRTAP24-1	NA	NA
GSTM5	NA	NA
TST	NA	NA
MATN1	NA	NA
C10orf91	NA	NA
RAD51B	NA	NA
RNGTT	NA	NA
SOBP	NA	NA
ZNF503	NA	NA
CALCOCO1	NA	NA
PIK3R3	NA	NA
F7	NA	NA
CDK3	NA	NA
LAS1L	NA	NA
KMT2E	NA	NA
APLP1	NA	NA
MGLL	NA	NA
SLC22A11	NA	NA
SLC25A42	NA	NA
DAB2	NA	NA
SFPQ	NA	NA
AARS2	NA	NA
OR1L6	NA	NA
SLC30A1	NA	NA
FAM19A1	NA	NA
FIG4	NA	NA
DGCR8	NA	NA
DHX33	NA	NA
OPN5	NA	NA
BPIFB6	NA	NA
CHRM4	NA	NA
PIP4K2C	NA	NA
SCRIB	NA	NA
FNBP4	NA	NA
MDH1	NA	NA
RFC2	NA	NA
TMEM202	NA	NA
MAMDC2	NA	NA
S100A6	NA	NA
PTK7	NA	NA
SYCN	NA	NA
ARHGEF26	NA	NA
STXBP1	NA	NA
TRRAP	NA	NA
CTRB2	NA	NA
VPS41	NA	NA
COL27A1	NA	NA
SPESP1	NA	NA
IFNLR1	NA	NA
C10orf71	NA	NA
LPGAT1	NA	NA
HINT3	NA	NA
AGK	NA	NA
TACC3	NA	NA
FAM63A	NA	NA
FAM227A	NA	NA
TMED1	NA	NA
KRTAP12-1	NA	NA
BAMBI	NA	NA
DNAL4	NA	NA
WIPF3	NA	NA
GIT2	NA	NA
IL26	NA	NA
UBQLN2	NA	NA
PEX19	NA	NA
TSPAN4	NA	NA
RTKN	NA	NA
AIFM3	NA	NA
SFRP1	NA	NA
SPDYE4	NA	NA
SPATA17	NA	NA
OR5AP2	NA	NA
BIRC5	NA	NA
FBXW11	NA	NA
C17orf47	NA	NA
TIMM17B	NA	NA
NEIL1	NA	NA
ANAPC13	NA	NA
ERCC1	NA	NA
BEND6	NA	NA
TBPL2	NA	NA
NHEJ1	NA	NA
YARS	NA	NA
OR5AR1	NA	NA
NXPH2	NA	NA
SP5	NA	NA
FLVCR1	NA	NA
LGALS2	NA	NA
RAE1	NA	NA
SNX6	NA	NA
KLHL40	NA	NA
WDR13	NA	NA
KRTAP19-4	NA	NA
RHEB	NA	NA
MVD	NA	NA
CDK5RAP2	NA	NA
PPAP2A	NA	NA
PAN3	NA	NA
CDHR5	NA	NA
UPF1	NA	NA
EXOC6	NA	NA
WDR78	NA	NA
XKR7	NA	NA
FAM131C	NA	NA
FCRL5	NA	NA
NIN	NA	NA
TSC22D3	NA	NA
TTI2	NA	NA
LLGL2	NA	NA
PRM1	NA	NA
GMDS	NA	NA
IFITM3	NA	NA
ANHX	NA	NA
BTBD7	NA	NA
CLSTN1	NA	NA
IL31	NA	NA
MTL5	NA	NA
APOL1	NA	NA
GLIS1	NA	NA
AIDA	NA	NA
UBE2M	NA	NA
FEZ1	NA	NA
SLC6A2	NA	NA
WDR19	NA	NA
KLC4	NA	NA
GGT6	NA	NA
HUWE1	NA	NA
OR4C16	NA	NA
MED20	NA	NA
FCRLA	NA	NA
KLK1	NA	NA
DCLRE1C	NA	NA
C1orf147	NA	NA
EMID1	NA	NA
MAP3K8	NA	NA
LRP10	NA	NA
RWDD2B	NA	NA
PDX1	NA	NA
OR4N2	NA	NA
TTC33	NA	NA
KDELR1	NA	NA
KCNH6	NA	NA
NES	NA	NA
MSH3	NA	NA
NAA20	NA	NA
ATG10	NA	NA
USP34	NA	NA
TXNDC16	NA	NA
NTN4	NA	NA
SH2D1B	NA	NA
PTPLAD1	NA	NA
WWP1	NA	NA
UBE2Z	NA	NA
GPR55	NA	NA
PBX2	NA	NA
CMTR1	NA	NA
SMPD3	NA	NA
PEX6	NA	NA
TRIB3	NA	NA
TBC1D28	NA	NA
BRCA1	NA	NA
IDUA	NA	NA
MIS18BP1	NA	NA
CHRND	NA	NA
TRAPPC6B	NA	NA
ZYX	NA	NA
LRCH4	NA	NA
FAM230A	NA	NA
CPSF1	NA	NA
WDR12	NA	NA
CHD6	NA	NA
M1AP	NA	NA
GTF2H4	NA	NA
CELA2B	NA	NA
C15orf60	NA	NA
SF3B1	NA	NA
ATP5SL	NA	NA
C17orf96	NA	NA
SERPINC1	NA	NA
DYNLRB1	NA	NA
MED9	NA	NA
RALGAPA1	NA	NA
PIFO	NA	NA
LCN1	NA	NA
RAG1	NA	NA
CBS	NA	NA
POLK	NA	NA
FGFR1	NA	NA
WARS2	NA	NA
B3GNTL1	NA	NA
GFRAL	NA	NA
SENP1	NA	NA
GPRIN2	NA	NA
PLSCR4	NA	NA
IST1	NA	NA
ERVMER34-1	NA	NA
FBXO3	NA	NA
AIFM1	NA	NA
TUBB	NA	NA
PRKCDBP	NA	NA
SERPING1	NA	NA
TUBB4B	NA	NA
WNT9B	NA	NA
MBD1	NA	NA
CCDC180	NA	NA
TMEM259	NA	NA
AAMP	NA	NA
CD52	NA	NA
SCN7A	NA	NA
UQCR10	NA	NA
CRHR2	NA	NA
LSM4	NA	NA
MMP9	NA	NA
CHRNE	NA	NA
EAPP	NA	NA
TNFAIP8L2	NA	NA
PORCN	NA	NA
LHX4	NA	NA
USP24	NA	NA
MRI1	NA	NA
VTI1B	NA	NA
UPF2	NA	NA
TUBGCP4	NA	NA
RALA	NA	NA
LGALS4	NA	NA
SRSF11	NA	NA
CPOX	NA	NA
CDC7	NA	NA
P4HA2	NA	NA
AGFG1	NA	NA
ATG16L1	NA	NA
COPS7B	NA	NA
MARCH9	NA	NA
MGAT5	NA	NA
BFAR	NA	NA
CLDN6	NA	NA
EML2	NA	NA
AUTS2	NA	NA
MYL2	NA	NA
MB	NA	NA
STRADB	NA	NA
DHRS2	NA	NA
MRPL42	NA	NA
ATF3	NA	NA
VMO1	NA	NA
DCTN4	NA	NA
OR4C3	NA	NA
CPSF7	NA	NA
TIMM22	NA	NA
OSBPL2	NA	NA
CCNG1	NA	NA
CHP2	NA	NA
TMPRSS11E	NA	NA
ZNF507	NA	NA
PABPC3	NA	NA
FAM210A	NA	NA
TNPO1	NA	NA
AHSA2	NA	NA
DNALI1	NA	NA
GOLT1B	NA	NA
FUBP3	NA	NA
VGLL2	NA	NA
LIAS	NA	NA
RUNX2	NA	NA
GKAP1	NA	NA
POU5F2	NA	NA
PRL	NA	NA
DKC1	NA	NA
ITPK1	NA	NA
ZBTB12	NA	NA
VSIG10	NA	NA
ALX3	NA	NA
FRAT2	NA	NA
OR6K6	NA	NA
MYO1F	NA	NA
C11orf49	NA	NA
EIF2S3	NA	NA
TLR9	NA	NA
SLC10A7	NA	NA
TSFM	NA	NA
MAGEB16	NA	NA
ADAM15	NA	NA
BARHL1	NA	NA
VTCN1	NA	NA
SOCS3	NA	NA
CCDC71L	NA	NA
UBQLN4	NA	NA
GEMIN7	NA	NA
COPS4	NA	NA
PBK	NA	NA
TTC26	NA	NA
STK4	NA	NA
HMGCS2	NA	NA
SRCRB4D	NA	NA
NDUFB11	NA	NA
DGCR2	NA	NA
EFNA4	NA	NA
MYCBPAP	NA	NA
FANCG	NA	NA
RNF169	NA	NA
ECEL1	NA	NA
SOCS5	NA	NA
EIF4EBP2	NA	NA
CDCA5	NA	NA
ATP6V1H	NA	NA
ATP5S	NA	NA
CELSR3	NA	NA
AFF3	NA	NA
COX4I2	NA	NA
GUCA1A	NA	NA
DEDD	NA	NA
ZCCHC10	NA	NA
IP6K3	NA	NA
WDR34	NA	NA
ACBD5	NA	NA
TAB3	NA	NA
BTG3	NA	NA
LMBR1L	NA	NA
PPP3CC	NA	NA
EVI2B	NA	NA
MAGEA4	NA	NA
ATRIP	NA	NA
ARHGEF28	NA	NA
SNAPC1	NA	NA
WBSCR22	NA	NA
DAGLA	NA	NA
ADAMTS20	NA	NA
ARRDC5	NA	NA
LPHN2	NA	NA
CDC20	NA	NA
EEF1A2	NA	NA
MCTS1	NA	NA
NRBP2	NA	NA
C10orf107	NA	NA
C7orf62	NA	NA
PLCZ1	NA	NA
FEM1B	NA	NA
ZSWIM7	NA	NA
DCK	NA	NA
ARSH	NA	NA
MED29	NA	NA
CRK	NA	NA
TMEM261	NA	NA
LRRC59	NA	NA
CDKN1B	NA	NA
ZDHHC3	NA	NA
GIMAP7	NA	NA
DCTN1	NA	NA
ACSBG1	NA	NA
NECAP2	NA	NA
PTPRK	NA	NA
RNASEH2B	NA	NA
SPIN3	NA	NA
WWP2	NA	NA
C9orf135	NA	NA
PFDN6	NA	NA
ZCCHC3	NA	NA
ECHDC1	NA	NA
ERAL1	NA	NA
C16orf62	NA	NA
PTPRJ	NA	NA
PTPRE	NA	NA
SIGLEC6	NA	NA
GABPA	NA	NA
CDPF1	NA	NA
NUP153	NA	NA
KCTD15	NA	NA
KCNH4	NA	NA
MAL	NA	NA
HES4	NA	NA
CNOT7	NA	NA
PPP2R5B	NA	NA
CNTN3	NA	NA
FAM110C	NA	NA
TBC1D29	NA	NA
ORAI2	NA	NA
FAH	NA	NA
LSM3	NA	NA
FGF8	NA	NA
ARX	NA	NA
ORMDL2	NA	NA
XRCC3	NA	NA
SPATA32	NA	NA
BTRC	NA	NA
DNAJB11	NA	NA
SDAD1	NA	NA
PEAR1	NA	NA
GHRH	NA	NA
ELMO2	NA	NA
SLC25A47	NA	NA
CEP55	NA	NA
CCDC22	NA	NA
TMEM131	NA	NA
MYLK	NA	NA
C3orf84	NA	NA
KIF3A	NA	NA
CXXC11	NA	NA
NXF1	NA	NA
STAU2	NA	NA
MURC	NA	NA
CRYBA4	NA	NA
PLXDC1	NA	NA
JAZF1	NA	NA
ZNF233	NA	NA
CCNF	NA	NA
TTC6	NA	NA
TIGD3	NA	NA
HOXB4	NA	NA
GBF1	NA	NA
SLC35B2	NA	NA
ARNT2	NA	NA
ZNF248	NA	NA
RNASEH2A	NA	NA
GABPB2	NA	NA
ZKSCAN5	NA	NA
CYP7B1	NA	NA
C14orf183	NA	NA
ZFP92	NA	NA
PLP2	NA	NA
TMEM199	NA	NA
VMP1	NA	NA
OSBP	NA	NA
FASTK	NA	NA
MTMR4	NA	NA
GRIN2C	NA	NA
C22orf46	NA	NA
SRP14	NA	NA
PYROXD1	NA	NA
E2F2	NA	NA
RFC3	NA	NA
C15orf39	NA	NA
PCP2	NA	NA
HSPA8	NA	NA
PLCL2	NA	NA
ATP5F1	NA	NA
COA3	NA	NA
TRMT5	NA	NA
ESR2	NA	NA
METTL11B	NA	NA
FAM76A	NA	NA
SMC2	NA	NA
TTC9C	NA	NA
GAD1	NA	NA
MRPL9	NA	NA
TOMM20	NA	NA
MLXIP	NA	NA
MYH9	NA	NA
ARHGEF2	NA	NA
SFTPD	NA	NA
TTF2	NA	NA
PKN1	NA	NA
EFS	NA	NA
AMHR2	NA	NA
KCNC4	NA	NA
OR10X1	NA	NA
PAICS	NA	NA
COPS8	NA	NA
HIPK1	NA	NA
KCTD17	NA	NA
GTF2F1	NA	NA
NKX2-8	NA	NA
LIG4	NA	NA
PTGS1	NA	NA
PLCB1	NA	NA
GABBR2	NA	NA
MLKL	NA	NA
VTI1A	NA	NA
IL6	NA	NA
MRP63	NA	NA
ADRA1A	NA	NA
CTDSPL	NA	NA
PDHA2	NA	NA
TEX10	NA	NA
CCDC91	NA	NA
SPRY4	NA	NA
RELB	NA	NA
SRSF7	NA	NA
SIPA1L3	NA	NA
CEP63	NA	NA
AGTPBP1	NA	NA
FUT6	NA	NA
CENPW	NA	NA
CTDSP2	NA	NA
GJD4	NA	NA
MCCC2	NA	NA
MRPS27	NA	NA
GABRA2	NA	NA
FAM150A	NA	NA
MLX	NA	NA
PROZ	NA	NA
KRTDAP	NA	NA
TYW1	NA	NA
LRMP	NA	NA
CRLS1	NA	NA
MRPS6	NA	NA
ZNF490	NA	NA
DDHD1	NA	NA
DDX46	NA	NA
F11R	NA	NA
HOXC10	NA	NA
SCN4A	NA	NA
CYP3A43	NA	NA
PDS5B	NA	NA
MRPL21	NA	NA
CABS1	NA	NA
MESDC1	NA	NA
TNFRSF12A	NA	NA
SNIP1	NA	NA
TCIRG1	NA	NA
RBMS2	NA	NA
IRF9	NA	NA
LRP3	NA	NA
PDCL2	NA	NA
NCAN	NA	NA
C10orf137	NA	NA
ANKFY1	NA	NA
CHRM1	NA	NA
DCTPP1	NA	NA
